Fighter,Division,Stance,top10_wins,elo_avg,elo_max,opp_elo_avg,years_in_top10,years_champ,ko_percentage,win_percentage
Maurice Hope,Light Middleweight,Southpaw,0.147058823529,1273.14845975,1351.4725954,1218.13677332,7,0,0.705882352941,0.852941176471,1273.14845975
Eusebio Pedroza,Featherweight,Orthodox,0.145833333333,1349.67899805,1440.41625913,1240.56219555,11,3,0.479166666667,0.833333333333,1349.67899805
Evander Holyfield,Heavyweight,Orthodox,0.142857142857,1378.81011183,1504.20128389,1288.90013333,17,0,0.428571428571,0.767857142857,1378.81011183
Jean Francois Bergeron,Heavyweight,Southpaw,0.142857142857,1290.52770103,1368.37841022,1198.479064,0,0,0.571428571429,0.892857142857,1290.52770103
Miguel Cotto,Middleweight,Orthodox,0.142857142857,1320.65173834,1426.11326987,1231.72829963,10,0,0.642857142857,0.904761904762,1320.65173834
SungKil Moon,Super Flyweight,Orthodox,0.142857142857,1278.31760431,1352.56828511,1239.03996732,0,0,0.619047619048,0.904761904762,1278.31760431
Ike Williams,Lightweight,Orthodox,0.142857142857,1316.88081694,1461.93384823,1253.56232031,8,4,0.366459627329,0.807453416149,1316.88081694
Kennedy McKinney,Super Bantamweight,Orthodox,0.142857142857,1280.27385717,1369.39166003,1232.4978099,7,0,0.428571428571,0.833333333333,1280.27385717
Frankie Narvaez,NA,NA,0.14,1270.87904371,1363.69502435,1232.50991048,5,0,0.14,0.76,1270.87904371
Sugar Ramos,Featherweight,Orthodox,0.138461538462,1277.22396143,1356.91620948,1234.7586455,10,1,0.584615384615,0.830769230769,1277.22396143
Abner Mares,Featherweight,Orthodox,0.137931034483,1274.864763,1338.92738523,1220.04985873,6,0,0.344827586207,0.931034482759,1274.864763
Jean Sneyers,NA,NA,0.137931034483,1289.04675675,1400.36210964,1228.56625247,8,0,0.218390804598,0.793103448276,1289.04675675
Archie Moore,Light Heavyweight,Orthodox,0.137614678899,1292.96213741,1406.05514783,1246.79786915,21,10,0.56880733945,0.834862385321,1292.96213741
Takashi Uchiyama,Super Featherweight,Orthodox,0.136363636364,1265.68196146,1321.9210137,1241.81964128,4,0,0.681818181818,0.954545454545,1265.68196146
Vernon Forrest,Welterweight,Orthodox,0.136363636364,1347.98900588,1442.95712431,1230.53832881,10,1,0.613636363636,0.909090909091,1347.98900588
Masao Oba,Flyweight,Orthodox,0.135135135135,1299.23703386,1398.23772562,1228.197635,0,0,0.351351351351,0.918918918919,1299.23703386
Chad Dawson,Light Heavyweight,Southpaw,0.135135135135,1301.29585849,1381.39399809,1212.81061974,8,1,0.405405405405,0.837837837838,1301.29585849
Nino Benvenuti,Middleweight,Orthodox,0.134831460674,1373.62675029,1518.27617585,1249.22900742,8,2,0.359550561798,0.910112359551,1373.62675029
Ezzard Charles,Heavyweight,Orthodox,0.133720930233,1257.88502978,1406.61949039,1232.03480895,12,1,0.302325581395,0.668604651163,1257.88502978
Sot Chitalada,NA,NA,0.133333333333,1256.49055231,1320.30906609,1235.73597999,8,4,0.466666666667,0.833333333333,1256.49055231
Hilario Zapata,Light Flyweight,Southpaw,0.132075471698,1326.49057747,1434.73781136,1232.69586908,7,0,0.245283018868,0.792452830189,1326.49057747
Dick Tiger,Middleweight,Orthodox,0.130952380952,1336.03731276,1459.87369059,1236.75885193,11,3,0.297619047619,0.714285714286,1336.03731276
Alexis Arguello,Super Featherweight,Orthodox,0.130952380952,1401.35855625,1516.53286442,1233.6419373,9,4,0.714285714286,0.904761904762,1401.35855625
Antonio Margarito,Welterweight,Orthodox,0.130434782609,1306.32315214,1381.7113087,1236.92086881,9,0,0.565217391304,0.804347826087,1306.32315214
Felix Sturm,Super Middleweight,Orthodox,0.130434782609,1281.60062808,1370.83296376,1245.5785403,11,0,0.369565217391,0.826086956522,1281.60062808
Mike McCallum,Light Middleweight,Orthodox,0.12962962963,1350.29700228,1514.25193088,1220.99106253,15,0,0.611111111111,0.888888888889,1350.29700228
Harold Johnson,Light Heavyweight,Orthodox,0.12925170068,1263.78998491,1426.14110654,1230.6295585,15,1,0.251700680272,0.585034013605,1263.78998491
Holman Williams,NA,NA,0.129032258065,1264.54048435,1392.1957203,1225.07894894,8,0,0.177419354839,0.774193548387,1264.54048435
Donald Curry,Welterweight,Orthodox,0.128205128205,1292.56544354,1402.16819434,1223.38468955,6,1,0.564102564103,0.846153846154,1292.56544354
Louis Skena,NA,NA,0.127272727273,1236.45475264,1290.91380063,1211.38764418,5,0,0.181818181818,0.690909090909,1236.45475264
Rafael Herrera,Bantamweight,Orthodox,0.126984126984,1239.5446595,1303.09402016,1211.24074378,5,0,0.31746031746,0.761904761905,1239.5446595
Virgil Hill,Light Heavyweight,Orthodox,0.125,1351.48498707,1463.4057457,1245.81198858,17,0,0.392857142857,0.875,1351.48498707
Paolo Rosi,Lightweight,Orthodox,0.125,1240.33151128,1302.50744442,1239.81938215,4,0,0.3125,0.75,1240.33151128
Rocky Marciano,Heavyweight,Orthodox,0.125,1376.21412119,1496.91959478,1226.41323922,6,4,0.854166666667,1.0,1376.21412119
Mando Ramos,Lightweight,Orthodox,0.125,1247.73988389,1311.56255172,1211.69653599,6,1,0.479166666667,0.75,1247.73988389
Billy Soose,NA,NA,0.125,1287.45373309,1363.5215339,1238.80891673,2,0,0.325,0.825,1287.45373309
Lucian Bute,Light Heavyweight,Southpaw,0.125,1312.05019549,1409.26923505,1236.86044369,8,0,0.71875,0.9375,1312.05019549
Jimmy Carruthers,Bantamweight,Southpaw,0.125,1260.14982739,1330.83070749,1209.18694492,3,2,0.5,0.833333333333,1260.14982739
Charley Burley,Middleweight,Orthodox,0.123711340206,1318.60002642,1412.7948948,1225.32262423,8,0,0.494845360825,0.845360824742,1318.60002642
Chartchai Chionoi,Flyweight,Orthodox,0.123456790123,1240.57660559,1306.8329872,1219.06903839,8,3,0.407407407407,0.740740740741,1240.57660559
Johnny Saxton,Welterweight,Orthodox,0.123076923077,1303.2734715,1433.11710285,1258.93607612,6,0,0.276923076923,0.830769230769,1303.2734715
Bobo Olson,Middleweight,Orthodox,0.122807017544,1354.1840895,1489.63545254,1230.58424597,0,0,0.385964912281,0.842105263158,1354.1840895
Ronald Wright,Light Middleweight,Southpaw,0.122807017544,1334.8454731,1432.39068066,1205.41340576,15,1,0.385964912281,0.859649122807,1334.8454731
Leo Rodak,NA,NA,0.122807017544,1261.59425413,1355.02766235,1249.55179974,5,0,0.0526315789474,0.675438596491,1261.59425413
Pipino Cuevas,Welterweight,Orthodox,0.122448979592,1280.53813927,1350.97137274,1244.82523884,7,0,0.632653061224,0.714285714286,1280.53813927
Amir Khan,Welterweight,Orthodox,0.121212121212,1314.9360028,1403.85282159,1241.29367036,6,0,0.484848484848,0.878787878788,1314.9360028
Sven Ottke,Super Middleweight,Orthodox,0.121212121212,1308.30283514,1400.94363959,1226.31885006,6,0,0.151515151515,0.757575757576,1308.30283514
Joseph Agbeko,Super Bantamweight,Orthodox,0.121212121212,1272.40631841,1343.01524393,1208.44115605,6,0,0.606060606061,0.848484848485,1272.40631841
Koki Kameda,Bantamweight,Southpaw,0.121212121212,1325.69067319,1417.1045743,1227.82546878,8,0,0.454545454545,0.969696969697,1325.69067319
Peter Keenan,NA,NA,0.121212121212,1301.85428948,1384.33929173,1225.38381382,7,0,0.333333333333,0.80303030303,1301.85428948
Joseph Rios,Super Flyweight,Orthodox,0.12,1215.61774355,1231.59641316,1239.40164575,0,0,0.16,0.48,1215.61774355
Adonis Stevenson,Light Heavyweight,Southpaw,0.12,1296.52360865,1371.56689379,1219.96728378,2,1,0.76,0.96,1296.52360865
Flash Elorde,Super Featherweight,Southpaw,0.119658119658,1276.51513749,1361.45233327,1216.56102523,12,5,0.25641025641,0.752136752137,1276.51513749
Danny Lopez,Featherweight,Orthodox,0.119402985075,1306.19957771,1384.78404176,1217.62125188,7,1,0.582089552239,0.731343283582,1306.19957771
Joey Giardello,Middleweight,Orthodox,0.119402985075,1307.57797731,1498.28229064,1242.67079015,13,2,0.223880597015,0.738805970149,1307.57797731
Willie Ludick,Welterweight,Southpaw,0.119047619048,1289.45450371,1371.30487946,1225.76393875,4,0,0.333333333333,0.785714285714,1289.45450371
Gil Turner,Welterweight,Orthodox,0.118421052632,1340.86796519,1443.52301434,1246.5114456,5,0,0.434210526316,0.723684210526,1340.86796519
Joey Sangor,NA,NA,0.118421052632,1231.55626316,1324.473418,1232.56600629,3,0,0.0789473684211,0.552631578947,1231.55626316
Larry Holmes,Heavyweight,Orthodox,0.118279569892,1318.00561664,1423.2635882,1218.58544852,11,5,0.430107526882,0.774193548387,1318.00561664
Carl Froch,Super Middleweight,Orthodox,0.117647058824,1310.27629534,1395.14887188,1220.97257447,8,0,0.647058823529,0.941176470588,1310.27629534
Rafael Marquez,Super Bantamweight,Orthodox,0.117647058824,1317.76668593,1402.26650337,1219.16149106,10,0,0.627450980392,0.843137254902,1317.76668593
Johnny Indrisano,Welterweight,Orthodox,0.116666666667,1251.20461124,1338.75006965,1215.05683101,3,0,0.166666666667,0.816666666667,1251.20461124
Erik Morales,Featherweight,Orthodox,0.116666666667,1359.79906091,1476.59461319,1260.23345756,13,0,0.533333333333,0.85,1359.79906091
Bob Montgomery,Lightweight,Orthodox,0.116071428571,1264.10966315,1403.73962283,1235.01168034,8,0,0.339285714286,0.6875,1264.10966315
Sugar Ray Robinson,Middleweight,Orthodox,0.115577889447,1367.39499099,1502.44437963,1250.68465111,17,10,0.527638190955,0.86432160804,1367.39499099
Sammy Angott,Lightweight,Orthodox,0.115384615385,1273.8677004,1386.0090126,1254.88713014,7,1,0.169230769231,0.715384615385,1273.8677004
Gus Lesnevich,Light Heavyweight,Orthodox,0.115384615385,1282.22177288,1345.97175236,1250.52647888,13,7,0.269230769231,0.75641025641,1282.22177288
Battling Battalino,NA,NA,0.114942528736,1238.78217269,1307.13038816,1214.83743176,3,3,0.252873563218,0.632183908046,1238.78217269
Billy Conn,Light Heavyweight,Orthodox,0.114942528736,1260.18876183,1369.7562231,1221.94287997,6,2,0.206896551724,0.804597701149,1260.18876183
Maxie Rosenbloom,Light Heavyweight,Orthodox,0.114478114478,1271.30617411,1405.35701878,1237.95684879,13,4,0.0639730639731,0.747474747475,1271.30617411
Nonito Donaire,Featherweight,Orthodox,0.114285714286,1305.20239001,1392.87312383,1207.78100715,7,2,0.571428571429,0.914285714286,1305.20239001
Freddie Schott,NA,NA,0.11320754717,1265.11771908,1370.03048573,1215.23522492,1,0,0.415094339623,0.792452830189,1265.11771908
Floyd Patterson,Heavyweight,Orthodox,0.111111111111,1338.90722918,1437.80542891,1216.69239287,18,5,0.587301587302,0.857142857143,1338.90722918
Joichiro Tatsuyoshi,Bantamweight,Orthodox,0.111111111111,1264.46272894,1306.37400396,1246.71955656,5,0,0.444444444444,0.703703703704,1264.46272894
Ingemar Johansson,Heavyweight,Orthodox,0.111111111111,1301.11211296,1400.12143415,1252.98764682,7,1,0.592592592593,0.925925925926,1301.11211296
Giovani Segura,Flyweight,Southpaw,0.111111111111,1263.70377384,1364.01472734,1238.74854658,1,0,0.722222222222,0.861111111111,1263.70377384
Jeff Chandler,Bantamweight,Orthodox,0.111111111111,1270.2929181,1355.55732515,1209.33960188,5,4,0.5,0.916666666667,1270.2929181
Juan Manuel Marquez,Welterweight,Orthodox,0.111111111111,1401.57827552,1528.69560823,1248.68338321,18,4,0.539682539683,0.888888888889,1401.57827552
Kenny Lane,Lightweight,Southpaw,0.111111111111,1354.10138857,1453.55998564,1244.22750733,10,0,0.181818181818,0.818181818182,1354.10138857
Louis 'Kid' Kaplan,NA,NA,0.109756097561,1260.73229938,1395.90196616,1224.1893933,0,0,0.158536585366,0.731707317073,1260.73229938
Humberto Gonzalez,Light Flyweight,Orthodox,0.109090909091,1325.98357774,1443.37534038,1225.94061985,6,0,0.618181818182,0.854545454545,1325.98357774
Jake Tuli,NA,NA,0.108695652174,1241.03506068,1326.67092293,1221.69544733,4,0,0.326086956522,0.652173913043,1241.03506068
Cory Spinks,Light Middleweight,Southpaw,0.108695652174,1306.36928039,1400.3447778,1214.81515307,9,2,0.239130434783,0.826086956522,1306.36928039
Roberto Duran,Lightweight,Orthodox,0.108333333333,1399.05004671,1517.53983501,1214.1235827,15,7,0.575,0.866666666667,1399.05004671
Shozo Saijo,Featherweight,Orthodox,0.108108108108,1237.22824699,1287.22814135,1215.2673434,4,0,0.216216216216,0.756756756757,1237.22824699
Jorge Lujan,Bantamweight,Orthodox,0.108108108108,1260.35150317,1319.96232167,1215.93063003,6,3,0.405405405405,0.702702702703,1260.35150317
Ernie Schaaf,Heavyweight,Orthodox,0.108108108108,1257.72976553,1368.33395463,1242.39019338,3,0,0.297297297297,0.77027027027,1257.72976553
Jimmy Bivins,Light Heavyweight,Orthodox,0.108108108108,1360.56685868,1453.75217522,1264.21383177,8,0,0.261261261261,0.765765765766,1360.56685868
Leonard Morrow,NA,NA,0.108108108108,1248.6011268,1308.69337493,1226.95203591,2,0,0.459459459459,0.756756756757,1248.6011268
Jermain Taylor,Middleweight,Orthodox,0.108108108108,1352.21554248,1500.52414465,1248.49272259,6,2,0.486486486486,0.864864864865,1352.21554248
Earl Mastro,NA,NA,0.107142857143,1261.72602708,1343.83168252,1213.1595855,3,0,0.214285714286,0.857142857143,1261.72602708
Pete Sanstol,Bantamweight,Orthodox,0.107142857143,1265.18140008,1373.67909166,1212.8550451,5,0,0.232142857143,0.875,1265.18140008
Rene Barrientos,Super Featherweight,Southpaw,0.106382978723,1249.8470993,1315.13448891,1222.8462731,7,0,0.276595744681,0.808510638298,1249.8470993
Leo Espinosa,Bantamweight,Orthodox,0.106382978723,1250.09214267,1355.33141825,1216.98029241,9,0,0.063829787234,0.68085106383,1250.09214267
Ricky Hatton,Light Welterweight,Orthodox,0.106382978723,1353.96746901,1472.21331289,1237.97430172,8,4,0.595744680851,0.936170212766,1353.96746901
Tommy Loughran,Light Heavyweight,Orthodox,0.105882352941,1298.71498631,1458.9628905,1249.22601436,8,2,0.0764705882353,0.717647058824,1298.71498631
Yoshio Shirai,Flyweight,Orthodox,0.105263157895,1263.82316142,1435.77499927,1229.51679406,4,2,0.263157894737,0.789473684211,1263.82316142
John Conteh,NA,NA,0.105263157895,1326.72548906,1411.36526476,1207.20769499,7,0,0.605263157895,0.868421052632,1326.72548906
Saensak Muangsurin,Light Welterweight,Southpaw,0.105263157895,1241.20119692,1284.12552973,1257.67295431,4,0,0.526315789474,0.684210526316,1241.20119692
Jimmy McLarnin,Welterweight,Orthodox,0.104938271605,1212.41689157,1345.68568084,1220.06000437,10,2,0.191358024691,0.530864197531,1212.41689157
Ruben Olivares,Bantamweight,Orthodox,0.104761904762,1275.25045448,1384.22072037,1216.10104901,8,2,0.714285714286,0.838095238095,1275.25045448
Jake LaMotta,Middleweight,Orthodox,0.104761904762,1284.02216898,1368.20228492,1239.17814288,10,2,0.27619047619,0.780952380952,1284.02216898
Mikkel Kessler,Super Middleweight,Orthodox,0.104166666667,1361.94999598,1475.75701969,1242.85667551,10,0,0.6875,0.9375,1361.94999598
Rinty Monaghan,NA,NA,0.102941176471,1262.69943961,1411.22286724,1218.79920648,6,2,0.264705882353,0.764705882353,1262.69943961
Brian Viloria,Flyweight,Orthodox,0.102564102564,1308.41716429,1402.45064753,1224.03437175,9,0,0.512820512821,0.846153846154,1308.41716429
Ayub Kalule,Light Middleweight,Southpaw,0.102040816327,1345.7571177,1469.48549649,1235.72122564,5,2,0.448979591837,0.918367346939,1345.7571177
Tommy Jackson,Heavyweight,Orthodox,0.101694915254,1222.16804132,1281.71541462,1211.52324348,0,0,0.305084745763,0.677966101695,1222.16804132
Emile Chemama,NA,NA,0.101694915254,1238.42200735,1372.97398007,1226.18103444,3,0,0.237288135593,0.627118644068,1238.42200735
Victor Galindez,Light Heavyweight,Orthodox,0.101449275362,1295.69384282,1436.97596209,1251.77639566,0,0,0.420289855072,0.782608695652,1295.69384282
Pascual Perez,Flyweight,Orthodox,0.10101010101,1330.30069488,1442.52980906,1198.65101567,10,6,0.474747474747,0.79797979798,1330.30069488
Wallace Bud Smith,Lightweight,Orthodox,0.1,1271.77523262,1434.19196372,1257.21597639,0,0,0.266666666667,0.5,1271.77523262
Mustafa Hamsho,Middleweight,Southpaw,0.1,1270.04469426,1340.98238982,1207.4011848,7,0,0.56,0.88,1270.04469426
Jose Stable,NA,NA,0.1,1257.48142698,1340.21307764,1233.95975094,3,0,0.25,0.65,1257.48142698
Steve Rocco,NA,NA,0.1,1242.11188331,1280.08394286,1207.30444064,3,0,0.133333333333,0.733333333333,1242.11188331
Alphonse Halimi,Bantamweight,Orthodox,0.1,1255.66864441,1345.56086867,1223.24427912,8,2,0.4,0.82,1255.66864441
Gennady Golovkin,Middleweight,Orthodox,0.1,1314.77027941,1406.74437376,1214.8446399,3,0,0.8,1.0,1314.77027941
Newsboy Brown,Flyweight,Orthodox,0.1,1227.95373115,1282.37799148,1213.94597669,7,0,0.14,0.72,1227.95373115
Acelino Freitas,Light Middleweight,Orthodox,0.1,1338.96757522,1432.48324842,1232.0245051,7,0,0.75,0.925,1338.96757522
Tommy Paul,Featherweight,Orthodox,0.099173553719,1247.02063935,1367.40290181,1229.90034395,5,0,0.206611570248,0.661157024793,1247.02063935
Fighting Harada,Bantamweight,Orthodox,0.0983606557377,1337.41723027,1452.51732681,1218.42907322,8,4,0.295081967213,0.885245901639,1337.41723027
Virgil Akins,NA,NA,0.0978260869565,1241.91009344,1309.15863989,1260.64113474,6,0,0.369565217391,0.641304347826,1241.91009344
Maurice Sandeyron,NA,NA,0.0972222222222,1212.73721567,1325.24205944,1211.31938471,7,0,0.0416666666667,0.597222222222,1212.73721567
Yasutsune Uehara,Super Featherweight,Orthodox,0.0967741935484,1287.48692152,1351.96526228,1218.43163485,2,1,0.612903225806,0.838709677419,1287.48692152
Andre Berto,Welterweight,Orthodox,0.0967741935484,1291.37600386,1373.27743539,1220.80271578,4,0,0.58064516129,0.903225806452,1291.37600386
Vic Toweel,NA,NA,0.0967741935484,1249.64599858,1347.81290568,1228.14147702,4,2,0.322580645161,0.870967741935,1249.64599858
Tomasz Adamek,Heavyweight,Orthodox,0.0961538461538,1337.52178758,1457.87094036,1205.31529981,8,2,0.480769230769,0.923076923077,1337.52178758
Dwight Muhammad Qawi,Light Heavyweight,Orthodox,0.0961538461538,1296.43449504,1401.06617047,1235.66035513,5,0,0.461538461538,0.788461538462,1296.43449504
Miguel Canto,Flyweight,Orthodox,0.0958904109589,1244.12244637,1311.03676637,1210.65771482,9,4,0.205479452055,0.835616438356,1244.12244637
Raton Macias,NA,NA,0.0952380952381,1335.98848362,1428.25781611,1210.94954128,0,0,0.595238095238,0.952380952381,1335.98848362
Gene Fullmer,Middleweight,Orthodox,0.0952380952381,1311.79490225,1496.06849722,1263.64100526,9,0,0.349206349206,0.857142857143,1311.79490225
Terry Allen,Flyweight,Orthodox,0.0947368421053,1271.81431119,1414.10107413,1207.55774348,6,0,0.189473684211,0.684210526316,1271.81431119
Teddy Gardner,NA,NA,0.0947368421053,1208.87722639,1280.91913947,1201.73699844,4,0,0.136842105263,0.610526315789,1208.87722639
Jack Sharkey,Heavyweight,Orthodox,0.0944881889764,1218.41296615,1306.20870109,1219.18627501,8,1,0.165354330709,0.488188976378,1218.41296615
Sonny Liston,Heavyweight,Orthodox,0.0943396226415,1370.70064828,1481.29603192,1247.58487711,10,2,0.641509433962,0.924528301887,1370.70064828
Tommy McGlinchey,NA,NA,0.0943396226415,1238.50609938,1300.48275991,1227.53222781,0,0,0.245283018868,0.603773584906,1238.50609938
Jean Pascal,Light Heavyweight,Orthodox,0.09375,1273.36990645,1355.62512666,1231.28822572,6,1,0.5,0.875,1273.36990645
Bob Pastor,Heavyweight,Orthodox,0.09375,1314.3363416,1452.6728379,1236.41368619,4,0,0.265625,0.8125,1314.3363416
